Language Task Size Select_size Model Metric Value
btz surSeg 2000 600 transformer precision 0.28121666666666667
btz surSeg 2000 600 transformer recall 0.2789333333333333
btz surSeg 2000 600 transformer f1 0.2770166666666667
btz surSeg 2000 625 transformer precision 0.28121666666666667
btz surSeg 2000 625 transformer recall 0.2789333333333333
btz surSeg 2000 625 transformer f1 0.2770166666666667
btz surSeg 2000 650 transformer precision 0.28121666666666667
btz surSeg 2000 650 transformer recall 0.2789333333333333
btz surSeg 2000 650 transformer f1 0.2770166666666667
btz surSeg 2000 675 transformer precision 0.28121666666666667
btz surSeg 2000 675 transformer recall 0.2789333333333333
btz surSeg 2000 675 transformer f1 0.2770166666666667
cho surSeg 500 0 transformer precision 0.0761
cho surSeg 500 0 transformer recall 0.07165
cho surSeg 500 0 transformer f1 0.07118333333333333
cho surSeg 500 25 transformer precision 0.0828
cho surSeg 500 25 transformer recall 0.08246666666666667
cho surSeg 500 25 transformer f1 0.08003333333333333
cho surSeg 500 50 transformer precision 0.08945
cho surSeg 500 50 transformer recall 0.08593333333333333
cho surSeg 500 50 transformer f1 0.08491666666666667
cho surSeg 500 75 transformer precision 0.08833333333333333
cho surSeg 500 75 transformer recall 0.08478333333333334
cho surSeg 500 75 transformer f1 0.08363333333333334
cho surSeg 500 100 transformer precision 0.09416666666666668
cho surSeg 500 100 transformer recall 0.09078333333333333
cho surSeg 500 100 transformer f1 0.08915000000000001
cho surSeg 500 125 transformer precision 0.09138333333333333
cho surSeg 500 125 transformer recall 0.08786666666666668
cho surSeg 500 125 transformer f1 0.08633333333333333
cho surSeg 500 150 transformer precision 0.08666666666666667
cho surSeg 500 150 transformer recall 0.09135
cho surSeg 500 150 transformer f1 0.08591666666666667
cho surSeg 500 175 transformer precision 0.09111666666666667
cho surSeg 500 175 transformer recall 0.08568333333333333
cho surSeg 500 175 transformer f1 0.08549999999999999
cho surSeg 500 200 transformer precision 0.08863333333333333
cho surSeg 500 200 transformer recall 0.09233333333333334
cho surSeg 500 200 transformer f1 0.08731666666666667
cho surSeg 500 225 transformer precision 0.10306666666666667
cho surSeg 500 225 transformer recall 0.09621666666666667
cho surSeg 500 225 transformer f1 0.09555000000000001
cho surSeg 500 250 transformer precision 0.1011
cho surSeg 500 250 transformer recall 0.09453333333333333
