Language Task Size Select_size Model Metric Value
btz surSeg 500 900 transformer recall 0.16338333333333335
btz surSeg 500 900 transformer f1 0.1685
btz surSeg 500 925 transformer precision 0.1594
btz surSeg 500 925 transformer recall 0.14100000000000001
btz surSeg 500 925 transformer f1 0.14641666666666667
btz surSeg 500 950 transformer precision 0.1613
btz surSeg 500 950 transformer recall 0.14986666666666668
btz surSeg 500 950 transformer f1 0.15186666666666668
btz surSeg 500 975 transformer precision 0.15271666666666667
btz surSeg 500 975 transformer recall 0.13976666666666668
btz surSeg 500 975 transformer f1 0.14283333333333334
btz surSeg 1000 0 transformer precision 0.23011666666666666
btz surSeg 1000 0 transformer recall 0.20845
btz surSeg 1000 0 transformer f1 0.21438333333333334
btz surSeg 1000 25 transformer precision 0.2314
btz surSeg 1000 25 transformer recall 0.21126666666666669
btz surSeg 1000 25 transformer f1 0.21745
btz surSeg 1000 50 transformer precision 0.22183333333333333
btz surSeg 1000 50 transformer recall 0.20400000000000001
btz surSeg 1000 50 transformer f1 0.20876666666666666
btz surSeg 1000 75 transformer precision 0.23043333333333335
btz surSeg 1000 75 transformer recall 0.20898333333333333
btz surSeg 1000 75 transformer f1 0.21621666666666667
btz surSeg 1000 100 transformer precision 0.22376666666666667
btz surSeg 1000 100 transformer recall 0.20705
btz surSeg 1000 100 transformer f1 0.21131666666666668
btz surSeg 1000 125 transformer precision 0.22855
btz surSeg 1000 125 transformer recall 0.21116666666666667
btz surSeg 1000 125 transformer f1 0.21546666666666667
btz surSeg 1000 150 transformer precision 0.21788333333333332
btz surSeg 1000 150 transformer recall 0.20091666666666666
btz surSeg 1000 150 transformer f1 0.20601666666666668
btz surSeg 1000 175 transformer precision 0.23051666666666668
btz surSeg 1000 175 transformer recall 0.21218333333333333
btz surSeg 1000 175 transformer f1 0.21695
btz surSeg 1000 200 transformer precision 0.23153333333333334
btz surSeg 1000 200 transformer recall 0.21216666666666667
btz surSeg 1000 200 transformer f1 0.21816666666666668
btz surSeg 1000 225 transformer precision 0.23126666666666668
btz surSeg 1000 225 transformer recall 0.21028333333333335
btz surSeg 1000 225 transformer f1 0.21631666666666668
btz surSeg 1000 250 transformer precision 0.23536666666666667
btz surSeg 1000 250 transformer recall 0.21881666666666666
btz surSeg 1000 250 transformer f1 0.22285
btz surSeg 1000 275 transformer precision 0.23665
btz surSeg 1000 275 transformer recall 0.21368333333333334
btz surSeg 1000 275 transformer f1 0.2213
btz surSeg 1000 300 transformer precision 0.23
btz surSeg 1000 300 transformer recall 0.21316666666666667
btz surSeg 1000 300 transformer f1 0.21751666666666666
btz surSeg 1000 325 transformer precision 0.22933333333333333
btz surSeg 1000 325 transformer recall 0.21308333333333335
btz surSeg 1000 325 transformer f1 0.21678333333333336
btz surSeg 1000 350 transformer precision 0.23446666666666666
btz surSeg 1000 350 transformer recall 0.21903333333333333
btz surSeg 1000 350 transformer f1 0.22303333333333333
btz surSeg 1000 375 transformer precision 0.22513333333333335
btz surSeg 1000 375 transformer recall 0.20661666666666667
btz surSeg 1000 375 transformer f1 0.21243333333333334
btz surSeg 1000 400 transformer precision 0.2351
btz surSeg 1000 400 transformer recall 0.21926666666666667
btz surSeg 1000 400 transformer f1 0.2235
btz surSeg 1000 425 transformer precision 0.23168333333333332
btz surSeg 1000 425 transformer recall 0.21025
btz surSeg 1000 425 transformer f1 0.21673333333333333
btz surSeg 1000 450 transformer precision 0.2484
btz surSeg 1000 450 transformer recall 0.22505
btz surSeg 1000 450 transformer f1 0.23186666666666667
btz surSeg 1000 475 transformer precision 0.22778333333333334
btz surSeg 1000 475 transformer recall 0.20815
btz surSeg 1000 475 transformer f1 0.21428333333333333
btz surSeg 1000 500 transformer precision 0.25135
btz surSeg 1000 500 transformer recall 0.23621666666666666
btz surSeg 1000 500 transformer f1 0.23945
btz surSeg 1000 525 transformer precision 0.24503333333333333
btz surSeg 1000 525 transformer recall 0.22973333333333334
btz surSeg 1000 525 transformer f1 0.23291666666666666
btz surSeg 1000 550 transformer precision 0.2207
btz surSeg 1000 550 transformer recall 0.20426666666666668
btz surSeg 1000 550 transformer f1 0.20921666666666666
btz surSeg 1000 575 transformer precision 0.228
btz surSeg 1000 575 transformer recall 0.20815
btz surSeg 1000 575 transformer f1 0.214
btz surSeg 1000 600 transformer precision 0.22566666666666665
btz surSeg 1000 600 transformer recall 0.20525
btz surSeg 1000 600 transformer f1 0.21155000000000002
btz surSeg 1000 625 transformer precision 0.22913333333333333
btz surSeg 1000 625 transformer recall 0.2137
btz surSeg 1000 625 transformer f1 0.2173
btz surSeg 1000 650 transformer precision 0.21581666666666668
btz surSeg 1000 650 transformer recall 0.19886666666666666
btz surSeg 1000 650 transformer f1 0.20385
btz surSeg 1000 675 transformer precision 0.23348333333333335
btz surSeg 1000 675 transformer recall 0.21526666666666666
btz surSeg 1000 675 transformer f1 0.21991666666666668
btz surSeg 1000 700 transformer precision 0.22921666666666668
btz surSeg 1000 700 transformer recall 0.21098333333333333
btz surSeg 1000 700 transformer f1 0.21623333333333333
btz surSeg 1000 725 transformer precision 0.23213333333333336
btz surSeg 1000 725 transformer recall 0.21016666666666667
btz surSeg 1000 725 transformer f1 0.21658333333333335
btz surSeg 1000 750 transformer precision 0.23196666666666668
btz surSeg 1000 750 transformer recall 0.2157
btz surSeg 1000 750 transformer f1 0.22006666666666666
btz surSeg 1000 775 transformer precision 0.23385
btz surSeg 1000 775 transformer recall 0.21355
btz surSeg 1000 775 transformer f1 0.21886666666666668
btz surSeg 1000 800 transformer precision 0.22023333333333334
btz surSeg 1000 800 transformer recall 0.20188333333333333
btz surSeg 1000 800 transformer f1 0.20728333333333332
btz surSeg 1000 825 transformer precision 0.22791666666666666
btz surSeg 1000 825 transformer recall 0.20816666666666667
btz surSeg 1000 825 transformer f1 0.21405
btz surSeg 1000 850 transformer precision 0.21786666666666668
btz surSeg 1000 850 transformer recall 0.20188333333333333
btz surSeg 1000 850 transformer f1 0.20550000000000002
btz surSeg 1000 875 transformer precision 0.21841666666666668
btz surSeg 1000 875 transformer recall 0.20718333333333333
btz surSeg 1000 875 transformer f1 0.2091
btz surSeg 1000 900 transformer precision 0.23863333333333334
btz surSeg 1000 900 transformer recall 0.21791666666666668
btz surSeg 1000 900 transformer f1 0.2241
btz surSeg 1000 925 transformer precision 0.22011666666666665
btz surSeg 1000 925 transformer recall 0.20343333333333333
btz surSeg 1000 925 transformer f1 0.20865
btz surSeg 1000 950 transformer precision 0.22768333333333335
btz surSeg 1000 950 transformer recall 0.20500000000000002
btz surSeg 1000 950 transformer f1 0.21228333333333335
btz surSeg 1000 975 transformer precision 0.23011666666666666
btz surSeg 1000 975 transformer recall 0.20845
btz surSeg 1000 975 transformer f1 0.21438333333333334
btz surSeg 1500 0 transformer precision 0.2498
btz surSeg 1500 0 transformer recall 0.22936666666666666
btz surSeg 1500 0 transformer f1 0.23421666666666668
btz surSeg 1500 25 transformer precision 0.2388
btz surSeg 1500 25 transformer recall 0.21703333333333333
btz surSeg 1500 25 transformer f1 0.22301666666666667
btz surSeg 1500 50 transformer precision 0.24265
btz surSeg 1500 50 transformer recall 0.22443333333333335
btz surSeg 1500 50 transformer f1 0.22875
btz surSeg 1500 75 transformer precision 0.23031666666666667
btz surSeg 1500 75 transformer recall 0.21433333333333332
btz surSeg 1500 75 transformer f1 0.21818333333333334
btz surSeg 1500 100 transformer precision 0.2353
btz surSeg 1500 100 transformer recall 0.20925000000000002
btz surSeg 1500 100 transformer f1 0.21756666666666666
btz surSeg 1500 125 transformer precision 0.23033333333333333
btz surSeg 1500 125 transformer recall 0.20856666666666668
btz surSeg 1500 125 transformer f1 0.21555000000000002
btz surSeg 1500 150 transformer precision 0.23991666666666667
btz surSeg 1500 150 transformer recall 0.22145
btz surSeg 1500 150 transformer f1 0.2255
btz surSeg 1500 175 transformer precision 0.24821666666666667
btz surSeg 1500 175 transformer recall 0.22813333333333333
btz surSeg 1500 175 transformer f1 0.2342
btz surSeg 1500 200 transformer precision 0.24338333333333334
btz surSeg 1500 200 transformer recall 0.23095
btz surSeg 1500 200 transformer f1 0.23241666666666666
btz surSeg 1500 225 transformer precision 0.22886666666666666
btz surSeg 1500 225 transformer recall 0.20366666666666666
btz surSeg 1500 225 transformer f1 0.2111
btz surSeg 1500 250 transformer precision 0.2487
btz surSeg 1500 250 transformer recall 0.23355
btz surSeg 1500 250 transformer f1 0.23696666666666666
btz surSeg 1500 275 transformer precision 0.25266666666666665
btz surSeg 1500 275 transformer recall 0.23911666666666667
btz surSeg 1500 275 transformer f1 0.24116666666666667
btz surSeg 1500 300 transformer precision 0.23966666666666667
btz surSeg 1500 300 transformer recall 0.21381666666666665
btz surSeg 1500 300 transformer f1 0.2217
btz surSeg 1500 325 transformer precision 0.24541666666666667
btz surSeg 1500 325 transformer recall 0.23293333333333335
btz surSeg 1500 325 transformer f1 0.23481666666666667
btz surSeg 1500 350 transformer precision 0.2546
btz surSeg 1500 350 transformer recall 0.23646666666666666
btz surSeg 1500 350 transformer f1 0.2406
btz surSeg 1500 375 transformer precision 0.25993333333333335
btz surSeg 1500 375 transformer recall 0.2398
btz surSeg 1500 375 transformer f1 0.24476666666666666
btz surSeg 1500 400 transformer precision 0.25288333333333335
btz surSeg 1500 400 transformer recall 0.24178333333333332
btz surSeg 1500 400 transformer f1 0.2426
btz surSeg 1500 425 transformer precision 0.23813333333333334
btz surSeg 1500 425 transformer recall 0.22161666666666666
btz surSeg 1500 425 transformer f1 0.22516666666666668
btz surSeg 1500 450 transformer precision 0.24728333333333333
btz surSeg 1500 450 transformer recall 0.23415
btz surSeg 1500 450 transformer f1 0.23641666666666666
btz surSeg 1500 475 transformer precision 0.24836666666666665
btz surSeg 1500 475 transformer recall 0.22315000000000002
btz surSeg 1500 475 transformer f1 0.23121666666666668
btz surSeg 1500 500 transformer precision 0.23445000000000002
btz surSeg 1500 500 transformer recall 0.21396666666666667
btz surSeg 1500 500 transformer f1 0.21993333333333334
btz surSeg 1500 525 transformer precision 0.2564166666666667
btz surSeg 1500 525 transformer recall 0.2379666666666667
btz surSeg 1500 525 transformer f1 0.24288333333333334
btz surSeg 1500 550 transformer precision 0.2538166666666667
btz surSeg 1500 550 transformer recall 0.23149999999999998
